id, name, type, weaponType

1, Ammo Box (12ga), Consumable, None
2, Ammo Box (50 BMG), Consumable, None
3, Ammo Box (5.56mm), Consumable, None
4, Ammo Box (7.62mm), Consumable, None
5, Ammo Box (9mm), Consumable, None
6, Ammo Box (Energy Cells), Consumable, None
7, Blood of the Earth Mother, Consumable, None
8, A12C Muzzle Brake, Attachment, None
9, Assault Scope, Attachment, None
10, Barrel Extension 2", Attachment, None
11, Barrel Extension 4", Attachment, None
12, Barrel Extension 6", Attachment, None
13, Breznik BMD, Attachment, None
14, Breznik BMD (Tactical), Attachment, None
15, Compact Sight, Attachment, None
16, Gun Crank, Attachment, None
17, Haukland Flash Hider, Attachment, None
18, Holographic Sight, Attachment, None
19, Hunting Scope, Attachment, None
20, Improvised Barrel Extension, Attachment, None
21, Insurance, Attachment, None
22, Laser Sight, Attachment, None
23, Laser Sight, Attachment, None
24, Laser Sight, Attachment, None
25, Priming Bolt, Attachment, None
26, Recon Scope, Attachment, None
27, Reflex Sight, Attachment, None
28, Shrouded Barrel Extension, Attachment, None
29, Sniper Scope, Attachment, None
30, Haukland Silencer, Attachment, None
31, Aftermarket Haukland Silencer, Attachment, None
32, SR-P3 Silencer, Attachment, None
33, M87 "Albatross" Silencer, Attachment, None
34, Warmage Compensator, Attachment, None
35, Chamber Chisel (12ga), Gadget, None
36, Chamber Chisel (.50 BMG), Gadget, None
37, Chamber Chisel (5.56mm), Gadget, None
38, Chamber Chisel (7.62mm), Gadget, None
39, Chamber Chisel (9mm), Gadget, None
40, Cash Money Bill, Consumable, None
41, Cash Money Coin, Consumable, None
42, Cash Money Twenny, Consumable, None
43, Action Oil, Enchantment, None
44, Add Damage Oil, Enchantment, None
45, Scroll of Aftershock, Enchantment, None
46, Aimless Oil, Enchantment, None
47, Airsoft Oil, Enchantment, None
48, Altruistic Oil, Enchantment, None
49, Arkanoid Oil, Enchantment, None
50, Arrow Oil, Enchantment, None
51, Artery Oil, Enchantment, None
52, Artillery Oil, Enchantment, None
53, Ascetic Oil, Enchantment, None
54, Assassin Dart Oil, Enchantment, None
55, Attack Speed Oil, Enchantment, None
56, Axe Oil, Enchantment, None
57, Bad Planet Oil, Enchantment, None
58, Bandit Oil, Enchantment, None
59, BB Oil, Enchantment, None
60, Bigger Bullets Oil, Enchantment, None
61, Big Oil, Enchantment, None
62, Big Tax Oil, Enchantment, None
63, Birth Oil, Enchantment, None
64, Black Friday Oil, Enchantment, None
65, Blindfold Oil, Enchantment, None
66, Blurt Oil, Enchantment, None
67, Bolt Oil, Enchantment, None
68, Bombard Oil, Enchantment, None
69, Boomstick Oil, Enchantment, None
70, Boulder Oil, Enchantment, None
71, Bouncing Bullets Oil, Enchantment, None
72, Bowl Oil, Enchantment, None
73, Braced Oil, Enchantment, None
74, Damage Oil, Enchantment, None
75, Brute Oil, Enchantment, None
76, Bulk Oil, Enchantment, None
77, Bystander Oil, Enchantment, None
78, Carefree Oil, Enchantment, None
79, Careful Oil, Enchantment, None
80, Careless Splitter Oil, Enchantment, None
81, Cartoon Oil, Enchantment, None
82, Casual Oil, Enchantment, None
83, Scroll of Chain Lightning, Enchantment, None
84, Scroll of Chaos Strike, Enchantment, None
85, Scroll of Charm, Enchantment, None
86, Cheap Oil, Enchantment, None
87, Chonk Oil, Enchantment, None
88, Chub Oil, Enchantment, None
89, Clump Oil, Enchantment, None
90, Collateral Oil, Enchantment, None
91, Complicated Oil, Enchantment, None
92, Compo Oil, Enchantment, None
93, Confidence Oil, Enchantment, None
94, Congestion Oil, Enchantment, None
95, Considerate Oil, Enchantment, None
96, Contained Force Oil, Enchantment, None
97, Scroll of Corpse Explosion, Enchantment, None
98, Scroll of Poison Blood, Enchantment, None
99, Critical Oil, Enchantment, None
100, Scroll of Crusader, Enchantment, None
101, Cycle Oil, Enchantment, None
102, Damage Oil, Enchantment, None
103, Scroll of Dark, Enchantment, None
104, Dart Oil, Enchantment, None
105, Dead Center Oil, Enchantment, None
106, Delayed Hyper Tube Oil, Enchantment, None
107, Dense Oil, Enchantment, None
108, Detune Oil, Enchantment, None
109, Diesel Oil, Enchantment, None
110, Discharge Oil, Enchantment, None
111, Disposable Oil, Enchantment, None
112, Division Oil, Enchantment, None
113, Do-over Oil, Enchantment, None
114, Double Fire Oil, Enchantment, None
115, Double Lock Oil, Enchantment, None
116, Double Nothing Oil, Enchantment, None
117, Oil of Yin, Enchantment, None
118, Dum Dum Oil, Enchantment, None
119, Dynamic Oil, Enchantment, None
120, Scroll of Earth, Enchantment, None
121, Easy Oil, Enchantment, None
122, Easy Plop Oil, Enchantment, None
123, Scroll of Surge, Enchantment, None
124, Elephant Oil, Enchantment, None
125, Eternal Oil, Enchantment, None
126, Exotic Barrel Oil, Enchantment, None
127, Expander Oil, Enchantment, None
128, Extra Powder Oil, Enchantment, None
129, Farsighted Oil, Enchantment, None
130, Fast Bet Oil, Enchantment, None
131, Fast Forward Oil, Enchantment, None
132, Scroll of Fear, Enchantment, None
133, Feature Gun Oil, Enchantment, None
134, Fidget Lord Oil, Enchantment, None
135, Fidget Oil, Enchantment, None
136, Scroll of Embers, Enchantment, None
137, First Blood Oil, Enchantment, None
138, Scroll of Flame Thrower, Enchantment, None
139, Flea Oil, Enchantment, None
140, Flop Oil, Enchantment, None
141, Flow Funnel Oil, Enchantment, None
142, Rate of Fire Oil, Enchantment, None
143, Food Stamp Oil, Enchantment, None
144, Force Oil, Enchantment, None
145, Fragile System Oil, Enchantment, None
146, Franciscan Oil, Enchantment, None
147, Scroll of Frostbite, Enchantment, None
148, Frugal Oil, Enchantment, None
149, Gambler Oil, Enchantment, None
150, Gargantuan Oil, Enchantment, None
151, Gemini Oil, Enchantment, None
152, Gentle Oil, Enchantment, None
153, Glass Cannon Oil, Enchantment, None
154, Great Oil, Enchantment, None
155, Grounded Oil, Enchantment, None
156, Gunslinger Oil, Enchantment, None
157, Happy Accident Oil, Enchantment, None
158, Heavy Lead Oil, Enchantment, None
159, Heavy Oil, Enchantment, None
160, Heavy Pockets  Oil, Enchantment, None
161, Hefty Oil, Enchantment, None
162, Helium Oil, Enchantment, None
163, High Grade Oil, Enchantment, None
164, Hip Blaster Oil, Enchantment, None
165, Hip Marksman Oil, Enchantment, None
166, Scroll of Holy Fire, Enchantment, None
167, Scroll of Holy Purge, Enchantment, None
168, Hoop Oil, Enchantment, None
169, Hunter Oil, Enchantment, None
170, Hustler Oil, Enchantment, None
171, Hyper Lead Oil, Enchantment, None
172, Imperfect Oil, Enchantment, None
173, Inconsiderate Oil, Enchantment, None
174, Inherited Oil, Enchantment, None
175, Instant Oil, Enchantment, None
176, Judgement Oil, Enchantment, None
177, Jungian Oil, Enchantment, None
178, Keep Oil, Enchantment, None
179, Kicker Oil, Enchantment, None
180, Kinetic Oil, Enchantment, None
181, Last Drop Oil, Enchantment, None
182, Late Boom Oil, Enchantment, None
183, Launcher Oil, Enchantment, None
184, Scroll of Lava, Enchantment, None
185, Lazy Oil, Enchantment, None
186, Scroll of Least Resistance, Enchantment, None
187, Less Recoil Oil, Enchantment, None
188, Scroll of Light, Enchantment, None
189, Lightweight Oil, Enchantment, None
190, Longshot Oil, Enchantment, None
191, Lost In Focus Oil, Enchantment, None
192, Low Roller Oil, Enchantment, None
193, Machine Oil, Enchantment, None
194, Main Discipline Oil, Enchantment, None
195, Main Focus Oil, Enchantment, None
196, Manifestation Oil, Enchantment, None
197, Matrix Oil, Enchantment, None
198, Micro Wing Oil, Enchantment, None
199, Modern Technology Oil, Enchantment, None
200, Mosquito Oil, Enchantment, None
201, Multichamber Oil, Enchantment, None
202, Multishot Oil, Enchantment, None
203, Scroll of Nature, Enchantment, None
204, Needleye Oil, Enchantment, None
205, Nerf Oil, Enchantment, None
206, No Look Oil, Enchantment, None
207, No Need Oil, Enchantment, None
208, Scroll of Noxiosa, Enchantment, None
209, Out of the Box Oil, Enchantment, None
210, Overclock Oil, Enchantment, None
211, Overdose Oil, Enchantment, None
212, Over Oil, Enchantment, None
213, Parallel Mag Oil, Enchantment, None
214, Peashooter Oil, Enchantment, None
215, Penetration Oil, Enchantment, None
216, Perfect Bounce Oil, Enchantment, None
217, Perforate Oil, Enchantment, None
218, Scroll of Pesticide, Enchantment, None
219, Scroll of Petrification, Enchantment, None
220, Scroll of Petroleum, Enchantment, None
221, Plinker Oil, Enchantment, None
222, Plop Back Oil, Enchantment, None
223, Scroll of Plague, Enchantment, None
224, Pool Oil, Enchantment, None
225, Potato Oil, Enchantment, None
226, Potshot Oil, Enchantment, None
227, Scroll of Prism, Enchantment, None
228, Puncher Oil, Enchantment, None
229, Puncture Oil, Enchantment, None
230, Purse Gun Oil, Enchantment, None
231, Scroll of Explosions, Enchantment, None
232, Rapid Internals Oil, Enchantment, None
233, Ready Oil, Enchantment, None
234, Rebound Oil, Enchantment, None
235, Recycle Oil, Enchantment, None
236, Relax Oil, Enchantment, None
237, Release Oil, Enchantment, None
238, Reload Oil, Enchantment, None
239, Ricochet Oil, Enchantment, None
240, Rigid System Oil, Enchantment, None
241, Rigor Oil, Enchantment, None
242, Robust Mechanics Oil, Enchantment, None
243, Scroll of Rocket Launcher, Enchantment, None
244, Rookie Oil, Enchantment, None
245, Rubber Oil, Enchantment, None
246, Rush Job Oil, Enchantment, None
247, Scroll of Sacrifice, Enchantment, None
248, Safety Oil, Enchantment, None
